"Angus, Henry F.",1
Canada. Department of the Interior. Immigration Branch. Controll,2
"MacInnis, Grace",1
"MacInnis, Angus",1
British Columbia Legislative Association,1
Canadian Grocer,1
"Laurier, Wilfred",1
Canada. Ministry of Labour,1
Anti-Chinese Association,1
British Columbia Audit Office,1
"Yip, Kew Ghim",1
Dart Coon Club,1
"Langevin, Hector-Louise, Sir",1
Mohawk,1
"Grant, George Monro",1
"Sullivan, J.",1
"Joliffe, A.L.",1
"Pope, Joseph",1
"Wong, Eva",2
"Yip, Kew Mow",2
Moore,1
Clandonald Settlers Association,1
"Gallagher, Mary",1
"St. John, Molyneux",1
Canada. Department of Agriculture,1
"Chee, Own Kee",1
United States of America,1
"Gardiner, David",1
"Brodie, H.W.",1
"Courtney, George L.",2
"Dunsmuir, James",2
Théâtre National de l'Opéra,1
Karl Kreß Wwe. & Co.,1
Jones Beach Marine Theatre,1
Department of Marine and Fisheries,1
"Robinson, Hugh G.",13
"Dunsmuir, Robert",3
Wellington and Comox Coal and Coke,1
"Lawrence, George R.",1
Wellington Colliery Company,1
Victoria Terminal Railway and Ferry Company,1
"Prior, H.K.",2
"Brown, Fred S.",19
UTL Holiday Tours,1
Seigniory Club,1
"Boyd, J.F.",1
"Millett, George",1
"McDonnell, T.E.",1
Lucerne-in-Quebec Community Association Limited,2
British Association for the Advancement of Science,1
Government of the Dominion of Canada,2
"McCormick, J.M.",1
"Goetz, Peter",1
Greater Vancouver Convention and Visitors Bureau,1
Westours,1
Hotel Touring and Red Ox,1
Deutsche Zentrale Fur Fremdenverkehr,1
"Taylor, Alice",1
American Geographical Society,1
Brownell Travel,1
"University Tours, Limited",1
Clifton-Ford Hotel,1
Puget Sound Navigation Company,2
Peninsular and Oriental Steam Navigation Company,1
"Robinson, Howard",1
Prince Rupert Daily News,1
Blue Star Line,1
C.W. Hunt & Co.,1
"Robinson, William Health",1
"Armstrong, Anthony",1
Mount Stephen Club,1
"Lynch, Dr.",1
"Van Horne, W.C.",1
"Matheson, Charles Winfield",1
"Mylett, W.J.",1
"Neal, W.M.",1
"Jones, Walter R.",1
Montreal Herald and Daily Commercial Gazette,1
"King, E.F.",1
"Tang, Bob",1
Vancouver Daily Province,1
Maclean's Magazine,2
